country,neighbourhood,count
Bangladesh,Danforth,0
Bangladesh,Danforth East York,0
Bangladesh,Don Valley Village,95
Bangladesh,Dorset Park,115
Bangladesh,Dovercourt-Wallace Emerson-Junction,30
Bangladesh,Downsview-Roding-CFB,0
Bangladesh,Dufferin Grove,30
Bangladesh,East End-Danforth,225
Bangladesh,Edenbridge-Humber Valley,0
Bangladesh,Eglinton East,80
Bangladesh,Elms-Old Rexdale,30
Bangladesh,Englemount-Lawrence,0
Bangladesh,Eringate-Centennial-West Deane,20
Bangladesh,Etobicoke West Mall,0
Bangladesh,Flemingdon Park,140
Bangladesh,Forest Hill North,0
Bangladesh,Forest Hill South,0
Bangladesh,Glenfield-Jane Heights,0
Bangladesh,Greenwood-Coxwell,20
Bangladesh,Guildwood,0
Bangladesh,Henry Farm,80
Bangladesh,High Park North,0
Bangladesh,High Park-Swansea,0
Bangladesh,Highland Creek,0
Bangladesh,Hillcrest Village,0
Bangladesh,Humber Heights-Westmount,0
Bangladesh,Humber Summit,35
Bangladesh,Humbermede,0
Bangladesh,Humewood-Cedarvale,0
Bangladesh,Ionview,100
Bangladesh,Islington-City Centre West,45
Bangladesh,Junction Area,0
Bangladesh,Keelesdale-Eglinton West,0
Bangladesh,Kennedy Park,215
Bangladesh,Kensington-Chinatown,10
Bangladesh,Kingsview Village-The Westway,65
Bangladesh,Kingsway South,0
Bangladesh,L'Amoreaux,15
Bangladesh,Lambton Baby Point,0
Bangladesh,Lansing-Westgate,15
Bangladesh,Lawrence Park North,0
Bangladesh,Lawrence Park South,0
Bangladesh,Leaside-Bennington,10
Bangladesh,Little Portugal,0
Bangladesh,Long Branch,15
Bangladesh,Malvern,120
Bangladesh,Maple Leaf,0
Bangladesh,Markland Wood,0
Bangladesh,Milliken,0
Bangladesh,Mimico (includes Humber Bay Shores),15
Bangladesh,Morningside,60
Bangladesh,Moss Park,40
Bangladesh,Mount Dennis,15
Bangladesh,Mount Olive-Silverstone-Jamestown,30
Bangladesh,Mount Pleasant East,10
Bangladesh,Mount Pleasant West,30
Bangladesh,New Toronto,0
Bangladesh,Newtonbrook East,30
Bangladesh,Newtonbrook West,15
Bangladesh,Niagara,10
Bangladesh,North Riverdale,10
Bangladesh,North St. James Town,45
Bangladesh,O'Connor-Parkview,85
Bangladesh,Oakridge,920
Bangladesh,Oakwood Village,0
Bangladesh,Old East York,0
Bangladesh,Palmerston-Little Italy,0
Bangladesh,Parkwoods-Donalda,150
Bangladesh,Pelmo Park-Humberlea,0
Bangladesh,Playter Estates-Danforth,0
Bangladesh,Pleasant View,20
Bangladesh,Princess-Rosethorn,0
Bangladesh,Regent Park,70
Bangladesh,Rexdale-Kipling,30
Bangladesh,Rockcliffe-Smythe,10
Bangladesh,Roncesvalles,0
Bangladesh,Rosedale-Moore Park,10
Bangladesh,Rouge,45
Bangladesh,Runnymede-Bloor West Village,0
Bangladesh,Rustic,0
Bangladesh,Scarborough Village,220
Bangladesh,South Parkdale,0
Bangladesh,South Riverdale,20
Bangladesh,St.Andrew-Windfields,15
Bangladesh,Steeles,0
Bangladesh,Stonegate-Queensway,0
Bangladesh,Tam O'Shanter-Sullivan,50
Bangladesh,Taylor-Massey,890
Bangladesh,The Beaches,0
Bangladesh,Thistletown-Beaumond Heights,0
Bangladesh,Thorncliffe Park,110
Bangladesh,Trinity-Bellwoods,0
Bangladesh,University,0
Bangladesh,Victoria Village,20
Bangladesh,Waterfront Communities-The Island,20
Bangladesh,West Hill,135
Bangladesh,West Humber-Clairville,0
Bangladesh,Westminster-Branson,0
Bangladesh,Weston,20
Bangladesh,Weston-Pelham Park,0
Bangladesh,Wexford/Maryvale,35
Bangladesh,Willowdale East,35
Bangladesh,Willowdale West,10
Bangladesh,Willowridge-Martingrove-Richview,0
Bangladesh,Woburn,135
Bangladesh,Woodbine Corridor,0
Bangladesh,Woodbine-Lumsden,0
Bangladesh,Wychwood,0
Bangladesh,Yonge-Eglinton,0
Bangladesh,Yonge-St.Clair,10
Bangladesh,York University Heights,15
Bangladesh,Yorkdale-Glen Park,0
Brazil,Agincourt North,0
Brazil,Agincourt South-Malvern West,15
Brazil,Alderwood,15
Brazil,Annex,20
Brazil,Banbury-Don Mills,0
Brazil,Bathurst Manor,10
Brazil,Bay Street Corridor,30
Brazil,Bayview Village,45
Brazil,Bayview Woods-Steeles,0
Brazil,Bedford Park-Nortown,0
Brazil,Beechborough-Greenbrook,10
Brazil,Bendale,10
Brazil,Birchcliffe-Cliffside,0
Brazil,Black Creek,0
Brazil,Blake-Jones,0
Brazil,Briar Hill-Belgravia,50
Brazil,Bridle Path-Sunnybrook-York Mills,0
Brazil,Broadview North,0
Brazil,Brookhaven-Amesbury,45
Brazil,Cabbagetown-South St. James Town,0
Brazil,Caledonia-Fairbank,20
Brazil,Casa Loma,10
Brazil,Centennial Scarborough,0
Brazil,Church-Yonge Corridor,40
Brazil,City of Toronto,1910
Brazil,Clairlea-Birchmount,10
Brazil,Clanton Park,0
Brazil,Cliffcrest,0
Brazil,Corso Italia-Davenport,25
Brazil,Danforth,0
Brazil,Danforth East York,10
Brazil,Don Valley Village,25
Brazil,Dorset Park,20
Brazil,Dovercourt-Wallace Emerson-Junction,55
Brazil,Downsview-Roding-CFB,20
Brazil,Dufferin Grove,50
Brazil,East End-Danforth,35
Brazil,Edenbridge-Humber Valley,10
Brazil,Eglinton East,0
Brazil,Elms-Old Rexdale,10
Brazil,Englemount-Lawrence,15
Brazil,Eringate-Centennial-West Deane,10
Brazil,Etobicoke West Mall,10
Brazil,Flemingdon Park,10
Brazil,Forest Hill North,15
Brazil,Forest Hill South,30
Brazil,Glenfield-Jane Heights,0
Brazil,Greenwood-Coxwell,0
Brazil,Guildwood,0
Brazil,Henry Farm,45
Brazil,High Park North,10
Brazil,High Park-Swansea,0
Brazil,Highland Creek,0
Brazil,Hillcrest Village,0
Brazil,Humber Heights-Westmount,0
Brazil,Humber Summit,0
Brazil,Humbermede,15
Brazil,Humewood-Cedarvale,10
Brazil,Ionview,0
Brazil,Islington-City Centre West,40
Brazil,Junction Area,10
Brazil,Keelesdale-Eglinton West,65
Brazil,Kennedy Park,0
Brazil,Kensington-Chinatown,15
Brazil,Kingsview Village-The Westway,35
Brazil,Kingsway South,0
Brazil,L'Amoreaux,0
Brazil,Lambton Baby Point,0
Brazil,Lansing-Westgate,15
Brazil,Lawrence Park North,0
Brazil,Lawrence Park South,10
Brazil,Leaside-Bennington,45
Brazil,Little Portugal,10
Brazil,Long Branch,0
Brazil,Malvern,0
Brazil,Maple Leaf,10
Brazil,Markland Wood,20
Brazil,Milliken,0
Brazil,Mimico (includes Humber Bay Shores),40
Brazil,Morningside,0
Brazil,Moss Park,10
Brazil,Mount Dennis,60
Brazil,Mount Olive-Silverstone-Jamestown,0
Brazil,Mount Pleasant East,10
Brazil,Mount Pleasant West,55
Brazil,New Toronto,10
Brazil,Newtonbrook East,0
Brazil,Newtonbrook West,25
Brazil,Niagara,20
