neighbourhood,Aboriginal languages,Afrikaans,Afro-Asiatic languages,Akan (Twi),Albanian,Algonquian languages,American Sign Language,Amharic,Arabic,Armenian,Assyrian Neo-Aramaic,Athabaskan languages,Austro-Asiatic languages,"Austro-Asiatic languages, n.i.e",Austronesian languages,Azerbaijani,Babine (Wetsuwet'en),Baltic languages,Balto-Slavic languages,Bamanankan,Beaver,Belarusan,Bengali,Berber languages,Bikol,Bilen,Blackfoot,Bosnian,Bulgarian,Burmese,Cantonese,Carrier,Catalan,Cayuga,Cebuano,Celtic languages,Chaldean Neo-Aramaic,Chilcotin,Chinese languages,Comox,Cree-Montagnais languages,Creole languages,Croatian,Cushitic languages,Czech,Dakota,Danish,Dene,Dinka,Dogrib (Tlicho),Dravidian languages,Dutch,Eastern Algonquian languages,Edo,English,English and French,English and non-official language,"English, French and non-official language",Estonian,Ewe,Fijian,Finnish,French,French and non-official language,Frisian,"Fulah (Pular, Pulaar, Fulfulde)",Ga,Ganda,Georgian,German,Germanic languages,Gitxsan (Gitksan),Greek,Gujarati,Gwich'in,Haida,Haisla,Haitian Creole,Hakka,Halkomelem,Harari,Hebrew,Heiltsuk,Hiligaynon,Hindi,Hmong-Mien languages,Hungarian,Icelandic,Igbo,Ilocano,Indo-Aryan languages,Indo-European languages,Indo-Iranian languages,Inuinnaqtun (Inuvialuktun),Inuit languages,Inuktitut,Iranian languages,Iroquoian languages,Italian,Italic (Romance) languages,Japanese,Kabyle,Kannada,Karenic languages,Kartvelian languages,Kashmiri,Kaska (Nahani),Khmer (Cambodian),Kinyarwanda (Rwanda),Konkani,Korean,Kurdish,Kutenai,Kwakiutl (Kwak'wala),Lao,Latvian,Lillooet,Lingala,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Maltese,Mandarin,Marathi,Michif,Min Dong,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",Mohawk,Mongolian,Mongolic languages,Mother tongue for the total population excluding institutional residents,Multiple responses,Nepali,Niger-Congo languages,Nilo-Saharan languages,Nisga'a,Non-Aboriginal languages,Non-official languages,North Slavey (Hare),Northern Athabaskan languages,Northern Tutchone,Norwegian,Nuu-chah-nulth (Nootka),Official languages,Ojibway-Potawatomi languages,Okanagan,Oneida,Oriya (Odia),Oromo,"Pampangan (Kapampangan, Pampango)",Pangasinan,Pashto,Persian (Farsi),Polish,Portuguese,Punjabi (Panjabi),Quebec Sign Language,Romanian,Rundi (Kirundi),Russian,Salish languages,Sarsi (Sarcee),Scottish Gaelic,Sekani,Semitic languages,Serbian,Serbo-Croatian,Shona,Shuswap (Secwepemctsin),Sign languages,"Sign languages, n.i.e",Sindhi,Single responses,Sinhala (Sinhalese),Sino-Tibetan languages,Siouan languages,Slavey-Hare languages,Slavic languages,Slovak,Slovene (Slovenian),Somali,South Slavey,Southern Tutchone,Spanish,Squamish,Stoney,Straits,Swahili,Swedish,"Tagalog (Pilipino, Filipino)",Tahltan,Tahltan languages,Tai-Kadai languages,"Tai-Kadai languages, n.i.e",Tamil,Telugu,Thai,Thompson (Ntlakapamux),Tibetan,Tibeto-Burman languages,Tigrigna,Tlingit,Tsimshian,Tsimshian languages,Turkic languages,Turkish,Tutchone languages,Ukrainian,Uralic languages,Urdu,Uyghur,Uzbek,Vietnamese,Vlaams (Flemish),Wakashan languages,Waray-Waray,Welsh,Wolof,Wu (Shanghainese),Yiddish,Yoruba
Eglinton East,5.0,0.0,490.0,25.0,50.0,5.0,0.0,110.0,175.0,40.0,0.0,0.0,65.0,0.0,1970.0,5.0,0.0,5.0,435.0,0.0,0.0,0.0,715.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,345.0,0.0,0.0,0.0,75.0,5.0,0.0,0.0,725.0,0.0,0.0,80.0,15.0,125.0,25.0,0.0,10.0,0.0,0.0,0.0,2685.0,10.0,0.0,15.0,10970.0,50.0,1180.0,25.0,0.0,10.0,0.0,10.0,310.0,35.0,0.0,5.0,0.0,10.0,25.0,110.0,130.0,0.0,330.0,125.0,0.0,0.0,0.0,10.0,35.0,0.0,20.0,5.0,0.0,40.0,100.0,0.0,60.0,0.0,5.0,115.0,1520.0,3555.0,1960.0,0.0,0.0,0.0,420.0,0.0,225.0,625.0,15.0,0.0,5.0,0.0,30.0,5.0,0.0,0.0,0.0,10.0,40.0,5.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,200.0,0.0,5.0,130.0,0.0,260.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,22575.0,1280.0,115.0,205.0,5.0,0.0,10020.0,10025.0,0.0,0.0,0.0,0.0,0.0,11275.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,60.0,350.0,80.0,90.0,80.0,0.0,50.0,0.0,40.0,0.0,0.0,0.0,0.0,360.0,45.0,0.0,5.0,0.0,10.0,10.0,25.0,21290.0,50.0,740.0,0.0,0.0,425.0,5.0,5.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,60.0,0.0,1710.0,0.0,0.0,10.0,0.0,2445.0,110.0,0.0,0.0,0.0,15.0,65.0,0.0,0.0,0.0,20.0,10.0,0.0,25.0,70.0,295.0,0.0,0.0,70.0,0.0,0.0,10.0,0.0,0.0,25.0,0.0,25.0
Elms-Old Rexdale,0.0,0.0,660.0,85.0,15.0,0.0,5.0,25.0,75.0,0.0,60.0,0.0,215.0,0.0,325.0,0.0,0.0,5.0,350.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,40.0,0.0,0.0,0.0,25.0,0.0,5.0,0.0,105.0,0.0,0.0,20.0,45.0,465.0,10.0,0.0,0.0,0.0,0.0,0.0,70.0,15.0,0.0,10.0,4930.0,15.0,395.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,5.0,10.0,0.0,45.0,70.0,0.0,25.0,30.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,40.0,0.0,45.0,0.0,10.0,40.0,385.0,2320.0,625.0,0.0,0.0,0.0,245.0,0.0,425.0,1225.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,5.0,10.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9450.0,410.0,0.0,200.0,0.0,0.0,4055.0,4060.0,0.0,0.0,0.0,0.0,0.0,4980.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,240.0,150.0,95.0,65.0,0.0,5.0,0.0,35.0,0.0,0.0,0.0,0.0,195.0,15.0,0.0,0.0,0.0,5.0,5.0,0.0,9040.0,5.0,120.0,0.0,0.0,340.0,5.0,15.0,460.0,0.0,0.0,695.0,0.0,0.0,0.0,25.0,0.0,255.0,0.0,0.0,10.0,0.0,50.0,10.0,5.0,0.0,10.0,15.0,35.0,0.0,0.0,0.0,10.0,10.0,0.0,40.0,45.0,145.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Englemount-Lawrence,0.0,0.0,660.0,55.0,90.0,5.0,0.0,50.0,80.0,30.0,0.0,0.0,85.0,0.0,2815.0,10.0,0.0,0.0,935.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0,0.0,5.0,30.0,0.0,125.0,0.0,0.0,0.0,90.0,5.0,0.0,0.0,300.0,0.0,0.0,15.0,25.0,205.0,10.0,0.0,5.0,0.0,0.0,0.0,55.0,30.0,0.0,5.0,12695.0,60.0,915.0,20.0,10.0,0.0,0.0,5.0,180.0,20.0,0.0,0.0,0.0,0.0,10.0,85.0,500.0,0.0,125.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,265.0,0.0,45.0,25.0,0.0,305.0,0.0,5.0,340.0,160.0,3530.0,355.0,0.0,0.0,0.0,210.0,0.0,420.0,1490.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,105.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,145.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,22065.0,1005.0,10.0,160.0,10.0,0.0,8165.0,8175.0,0.0,0.0,0.0,0.0,0.0,12875.0,5.0,0.0,0.0,0.0,35.0,20.0,15.0,30.0,165.0,140.0,335.0,15.0,0.0,155.0,0.0,555.0,0.0,0.0,0.0,0.0,455.0,80.0,20.0,5.0,0.0,10.0,0.0,0.0,21040.0,5.0,305.0,0.0,0.0,930.0,25.0,0.0,175.0,0.0,0.0,570.0,0.0,0.0,0.0,35.0,0.0,2250.0,0.0,0.0,10.0,0.0,35.0,0.0,5.0,0.0,5.0,10.0,40.0,0.0,0.0,0.0,50.0,40.0,0.0,50.0,325.0,50.0,0.0,5.0,95.0,0.0,0.0,15.0,5.0,0.0,0.0,375.0,15.0
Eringate-Centennial-West Deane,0.0,0.0,390.0,10.0,110.0,0.0,0.0,10.0,145.0,25.0,5.0,0.0,65.0,0.0,270.0,0.0,0.0,70.0,3325.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,115.0,120.0,5.0,250.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,580.0,0.0,0.0,5.0,185.0,170.0,35.0,0.0,5.0,0.0,0.0,0.0,70.0,25.0,0.0,0.0,9670.0,45.0,535.0,20.0,20.0,0.0,0.0,10.0,175.0,25.0,0.0,0.0,0.0,5.0,20.0,185.0,220.0,0.0,145.0,45.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,85.0,0.0,95.0,0.0,0.0,10.0,480.0,6040.0,545.0,0.0,0.0,0.0,65.0,0.0,620.0,1685.0,25.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,360.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,50.0,85.0,0.0,10.0,20.0,50.0,265.0,15.0,0.0,0.0,20.0,0.0,0.0,0.0,18525.0,625.0,0.0,30.0,0.0,0.0,8060.0,8060.0,0.0,0.0,0.0,0.0,0.0,9845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,45.0,730.0,465.0,65.0,0.0,130.0,0.0,375.0,0.0,0.0,0.0,0.0,220.0,625.0,45.0,5.0,0.0,5.0,5.0,10.0,17905.0,50.0,615.0,0.0,0.0,3260.0,40.0,60.0,175.0,0.0,0.0,470.0,0.0,0.0,0.0,5.0,0.0,235.0,0.0,0.0,5.0,0.0,35.0,0.0,10.0,0.0,30.0,35.0,10.0,0.0,0.0,0.0,35.0,25.0,0.0,815.0,125.0,150.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Etobicoke West Mall,0.0,0.0,360.0,10.0,180.0,0.0,5.0,5.0,190.0,10.0,30.0,0.0,60.0,0.0,400.0,5.0,0.0,40.0,1945.0,0.0,0.0,0.0,55.0,0.0,5.0,0.0,0.0,45.0,80.0,0.0,85.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,255.0,0.0,0.0,20.0,65.0,90.0,35.0,0.0,5.0,0.0,0.0,0.0,140.0,5.0,0.0,0.0,5355.0,20.0,405.0,10.0,0.0,0.0,0.0,0.0,85.0,20.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,0.0,65.0,40.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,65.0,0.0,115.0,0.0,0.0,20.0,460.0,3775.0,625.0,0.0,0.0,0.0,150.0,0.0,165.0,845.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,205.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,40.0,40.0,0.0,10.0,20.0,25.0,150.0,5.0,0.0,0.0,5.0,0.0,10.0,10.0,11470.0,450.0,10.0,40.0,0.0,0.0,5575.0,5575.0,0.0,0.0,0.0,0.0,0.0,5445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,135.0,415.0,190.0,35.0,0.0,75.0,0.0,275.0,0.0,0.0,0.0,0.0,260.0,485.0,45.0,0.0,0.0,0.0,0.0,0.0,11020.0,35.0,285.0,0.0,0.0,1905.0,30.0,20.0,95.0,0.0,0.0,420.0,0.0,0.0,0.0,5.0,0.0,360.0,0.0,0.0,0.0,0.0,100.0,15.0,5.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,150.0,120.0,0.0,370.0,120.0,210.0,15.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flemingdon Park,5.0,5.0,980.0,10.0,50.0,0.0,0.0,150.0,510.0,60.0,5.0,0.0,80.0,0.0,1480.0,10.0,0.0,15.0,1235.0,0.0,0.0,10.0,615.0,0.0,5.0,0.0,0.0,15.0,70.0,10.0,405.0,0.0,0.0,0.0,55.0,0.0,5.0,0.0,955.0,0.0,0.0,20.0,20.0,180.0,35.0,0.0,0.0,0.0,0.0,0.0,845.0,15.0,0.0,0.0,6240.0,50.0,1350.0,25.0,5.0,5.0,0.0,10.0,210.0,35.0,0.0,10.0,0.0,15.0,0.0,75.0,95.0,0.0,625.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,30.0,405.0,0.0,85.0,0.0,0.0,115.0,4245.0,8860.0,6170.0,0.0,0.0,0.0,1845.0,0.0,35.0,640.0,35.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,180.0,10.0,0.0,0.0,5.0,20.0,0.0,10.0,0.0,50.0,0.0,30.0,20.0,5.0,465.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,21930.0,1455.0,15.0,155.0,5.0,0.0,14015.0,14025.0,0.0,0.0,0.0,0.0,0.0,6455.0,0.0,0.0,0.0,0.0,30.0,25.0,5.0,455.0,1375.0,60.0,60.0,140.0,0.0,155.0,5.0,245.0,0.0,0.0,0.0,0.0,795.0,85.0,25.0,20.0,0.0,0.0,0.0,255.0,20470.0,40.0,965.0,0.0,0.0,1210.0,595.0,0.0,150.0,0.0,0.0,395.0,0.0,0.0,0.0,55.0,0.0,1215.0,0.0,0.0,25.0,0.0,735.0,65.0,15.0,0.0,5.0,15.0,110.0,0.0,0.0,0.0,295.0,205.0,0.0,20.0,100.0,1535.0,40.0,20.0,80.0,0.0,0.0,10.0,0.0,0.0,15.0,5.0,0.0
Forest Hill North,0.0,5.0,355.0,0.0,230.0,0.0,0.0,15.0,65.0,20.0,5.0,0.0,20.0,0.0,1125.0,0.0,0.0,15.0,725.0,0.0,0.0,0.0,15.0,5.0,5.0,0.0,0.0,10.0,50.0,0.0,55.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,195.0,0.0,0.0,5.0,25.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,7705.0,35.0,360.0,5.0,0.0,0.0,0.0,10.0,165.0,20.0,0.0,0.0,0.0,0.0,0.0,65.0,170.0,0.0,55.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,30.0,20.0,0.0,200.0,0.0,0.0,130.0,75.0,2230.0,210.0,0.0,0.0,0.0,135.0,0.0,120.0,815.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,5.0,0.0,20.0,20.0,12675.0,425.0,0.0,20.0,0.0,0.0,4385.0,4385.0,0.0,0.0,0.0,0.0,0.0,7870.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,110.0,60.0,105.0,5.0,0.0,170.0,5.0,380.0,0.0,0.0,0.0,0.0,350.0,120.0,10.0,5.0,0.0,0.0,0.0,0.0,12250.0,5.0,200.0,0.0,0.0,710.0,15.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,5.0,885.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,75.0,70.0,0.0,25.0,215.0,10.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,85.0,10.0
Forest Hill South,0.0,5.0,140.0,0.0,30.0,0.0,0.0,0.0,45.0,15.0,0.0,0.0,15.0,0.0,255.0,0.0,0.0,20.0,430.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,125.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,20.0,5.0,20.0,0.0,5.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,8060.0,45.0,135.0,10.0,10.0,0.0,0.0,5.0,155.0,15.0,0.0,0.0,0.0,0.0,5.0,85.0,205.0,0.0,35.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,90.0,0.0,5.0,20.0,0.0,110.0,0.0,0.0,15.0,75.0,1290.0,175.0,0.0,0.0,0.0,110.0,0.0,100.0,395.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,45.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,210.0,0.0,0.0,0.0,10.0,0.0,5.0,5.0,10730.0,195.0,0.0,0.0,0.0,0.0,2305.0,2315.0,0.0,0.0,0.0,5.0,0.0,8220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,75.0,70.0,20.0,0.0,60.0,0.0,145.0,0.0,0.0,0.0,0.0,135.0,85.0,5.0,0.0,0.0,0.0,0.0,0.0,10535.0,0.0,360.0,0.0,0.0,415.0,5.0,5.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,5.0,0.0,210.0,0.0,0.0,5.0,0.0,20.0,0.0,5.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,30.0,120.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,90.0,0.0
Glenfield-Jane Heights,0.0,0.0,845.0,355.0,20.0,5.0,0.0,35.0,140.0,20.0,240.0,0.0,3075.0,0.0,975.0,5.0,0.0,5.0,275.0,0.0,0.0,0.0,75.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,915.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,1210.0,0.0,0.0,80.0,10.0,315.0,30.0,0.0,0.0,0.0,0.0,0.0,335.0,10.0,0.0,75.0,13575.0,55.0,1375.0,25.0,0.0,10.0,0.0,5.0,175.0,25.0,0.0,0.0,5.0,0.0,0.0,35.0,45.0,0.0,75.0,185.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,60.0,0.0,25.0,135.0,525.0,7500.0,750.0,0.0,0.0,0.0,230.0,0.0,2850.0,6300.0,10.0,0.0,0.0,15.0,0.0,5.0,0.0,350.0,0.0,0.0,15.0,0.0,0.0,0.0,70.0,5.0,0.0,0.0,5.0,20.0,0.0,5.0,20.0,0.0,90.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,30250.0,1480.0,0.0,665.0,0.0,0.0,15000.0,15010.0,0.0,0.0,0.0,0.0,0.0,13745.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,50.0,170.0,70.0,355.0,150.0,0.0,20.0,0.0,75.0,0.0,0.0,0.0,0.0,530.0,15.0,5.0,5.0,0.0,15.0,10.0,0.0,28755.0,10.0,1215.0,0.0,0.0,265.0,10.0,5.0,295.0,0.0,0.0,3080.0,0.0,0.0,0.0,65.0,0.0,765.0,0.0,0.0,95.0,0.0,300.0,15.0,20.0,0.0,0.0,15.0,60.0,0.0,0.0,0.0,80.0,85.0,0.0,10.0,60.0,70.0,0.0,0.0,2725.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,80.0
Greenwood-Coxwell,5.0,0.0,125.0,10.0,10.0,5.0,0.0,35.0,35.0,5.0,0.0,0.0,120.0,0.0,150.0,0.0,0.0,15.0,270.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,1315.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1725.0,0.0,5.0,5.0,15.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,9555.0,85.0,315.0,20.0,10.0,0.0,0.0,10.0,265.0,5.0,0.0,0.0,0.0,5.0,0.0,75.0,125.0,0.0,170.0,55.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,20.0,0.0,0.0,80.0,0.0,30.0,0.0,0.0,15.0,630.0,1750.0,725.0,0.0,0.0,0.0,90.0,0.0,130.0,450.0,50.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,40.0,0.0,5.0,0.0,5.0,275.0,5.0,0.0,0.0,55.0,0.0,0.0,0.0,14385.0,420.0,10.0,25.0,0.0,0.0,4140.0,4145.0,0.0,0.0,0.0,5.0,0.0,9815.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,65.0,40.0,65.0,110.0,0.0,25.0,0.0,40.0,0.0,0.0,0.0,0.0,120.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,13960.0,5.0,1745.0,0.0,0.0,255.0,10.0,5.0,10.0,0.0,0.0,225.0,0.0,0.0,0.0,5.0,0.0,135.0,0.0,0.0,15.0,0.0,30.0,0.0,5.0,0.0,5.0,10.0,20.0,0.0,0.0,0.0,15.0,10.0,0.0,20.0,45.0,315.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0
Guildwood,0.0,0.0,60.0,0.0,20.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,25.0,0.0,225.0,0.0,0.0,15.0,380.0,0.0,0.0,5.0,180.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,95.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,210.0,0.0,0.0,5.0,15.0,0.0,30.0,0.0,5.0,0.0,0.0,0.0,95.0,30.0,0.0,0.0,7130.0,20.0,195.0,10.0,10.0,0.0,0.0,15.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,240.0,0.0,95.0,35.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,30.0,0.0,45.0,0.0,0.0,0.0,290.0,1415.0,370.0,0.0,0.0,0.0,85.0,0.0,90.0,310.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,65.0,0.0,10.0,15.0,5.0,90.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9660.0,215.0,0.0,10.0,5.0,0.0,2185.0,2190.0,0.0,0.0,0.0,5.0,0.0,7250.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,70.0,105.0,45.0,10.0,0.0,80.0,0.0,50.0,0.0,0.0,5.0,0.0,55.0,25.0,5.0,5.0,0.0,0.0,0.0,5.0,9435.0,5.0,210.0,0.0,0.0,365.0,5.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,5.0,0.0,85.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,15.0,0.0,35.0,70.0,30.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
Henry Farm,0.0,0.0,870.0,5.0,20.0,0.0,5.0,30.0,780.0,110.0,10.0,0.0,30.0,0.0,810.0,15.0,0.0,5.0,455.0,0.0,0.0,0.0,220.0,0.0,5.0,0.0,0.0,0.0,25.0,10.0,765.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0,2590.0,0.0,0.0,20.0,15.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,790.0,15.0,0.0,0.0,4720.0,40.0,980.0,20.0,5.0,0.0,0.0,0.0,145.0,20.0,0.0,0.0,0.0,0.0,0.0,35.0,60.0,0.0,80.0,195.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,15.0,320.0,0.0,40.0,0.0,0.0,15.0,1415.0,4070.0,2635.0,0.0,0.0,0.0,1195.0,0.0,35.0,705.0,55.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,380.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,40.0,130.0,5.0,1670.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,15725.0,1055.0,20.0,30.0,0.0,0.0,9795.0,9795.0,0.0,0.0,0.0,0.0,0.0,4870.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,60.0,1095.0,45.0,105.0,75.0,0.0,195.0,0.0,275.0,0.0,0.0,0.0,0.0,850.0,40.0,0.0,0.0,0.0,5.0,0.0,25.0,14665.0,30.0,2605.0,0.0,0.0,450.0,5.0,0.0,20.0,0.0,0.0,365.0,0.0,0.0,0.0,15.0,5.0,705.0,0.0,0.0,5.0,0.0,295.0,315.0,0.0,0.0,10.0,25.0,10.0,0.0,0.0,0.0,70.0,45.0,0.0,25.0,45.0,435.0,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,5.0
High Park North,5.0,10.0,410.0,10.0,50.0,0.0,0.0,75.0,200.0,15.0,0.0,0.0,70.0,0.0,255.0,5.0,0.0,260.0,3010.0,0.0,0.0,10.0,45.0,5.0,0.0,0.0,0.0,20.0,60.0,5.0,185.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,495.0,0.0,0.0,15.0,115.0,20.0,45.0,0.0,10.0,0.0,0.0,0.0,110.0,40.0,0.0,0.0,13495.0,95.0,455.0,20.0,40.0,0.0,0.0,15.0,485.0,30.0,0.0,0.0,0.0,5.0,10.0,280.0,365.0,0.0,115.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,5.0,85.0,0.0,160.0,0.0,5.0,10.0,295.0,5365.0,485.0,0.0,0.0,5.0,185.0,0.0,205.0,1315.0,90.0,0.0,20.0,0.0,15.0,0.0,0.0,0.0,10.0,10.0,295.0,5.0,0.0,0.0,0.0,55.0,0.0,0.0,195.0,5.0,0.0,10.0,15.0,40.0,250.0,20.0,0.0,5.0,25.0,0.0,15.0,5.0,22105.0,610.0,10.0,20.0,0.0,0.0,7510.0,7520.0,0.0,0.0,0.0,0.0,0.0,13975.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,180.0,770.0,395.0,25.0,0.0,115.0,0.0,750.0,0.0,0.0,0.0,0.0,385.0,350.0,35.0,5.0,0.0,0.0,0.0,0.0,21500.0,5.0,520.0,0.0,0.0,2755.0,55.0,30.0,20.0,0.0,0.0,615.0,0.0,0.0,0.0,0.0,10.0,205.0,0.0,0.0,10.0,0.0,65.0,15.0,10.0,0.0,25.0,30.0,40.0,0.0,0.0,0.0,110.0,85.0,0.0,475.0,220.0,45.0,0.0,25.0,75.0,10.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0
