neighbourhood,crime_type,year,population,crime_count,crime_rate
Banbury-Don Mills,Homicide,2017,29088,0,0.0
Banbury-Don Mills,Homicide,2018,29795,0,0.0
Banbury-Don Mills,Homicide,2019,30475,0,0.0
Banbury-Don Mills,Homicide,2020,31186,0,0.0
Banbury-Don Mills,Robbery,2014,28135,12,42.6515
Banbury-Don Mills,Robbery,2016,28430,18,63.3134
Banbury-Don Mills,Robbery,2017,29088,9,30.940590000000004
Banbury-Don Mills,Robbery,2018,29795,7,23.493879999999997
Banbury-Don Mills,Robbery,2019,30475,13,42.65792
Banbury-Don Mills,Robbery,2020,31186,7,22.445970000000003
Banbury-Don Mills,Shootings,2014,28135,1,3.554292
Banbury-Don Mills,Shootings,2015,28226,0,0.0
Banbury-Don Mills,Shootings,2016,28430,2,7.034822
Banbury-Don Mills,Shootings,2017,29088,1,3.437844
Banbury-Don Mills,Shootings,2018,29795,0,0.0
Banbury-Don Mills,Shootings,2019,30475,2,6.562757
Banbury-Don Mills,Shootings,2020,31186,2,6.4131339999999994
Banbury-Don Mills,Theft Over,2014,28135,10,35.54292
Banbury-Don Mills,Theft Over,2015,28226,14,49.59966
Banbury-Don Mills,Theft Over,2016,28430,11,38.69152
Banbury-Don Mills,Theft Over,2017,29088,5,17.189220000000002
Banbury-Don Mills,Theft Over,2018,29795,8,26.850140000000003
Banbury-Don Mills,Theft Over,2019,30475,16,52.50205
Banbury-Don Mills,Theft Over,2020,31186,8,25.65254
Bathurst Manor,Assault,2014,16182,47,290.4462
Bathurst Manor,Assault,2015,16237,45,277.1448
Bathurst Manor,Assault,2016,16354,71,434.1446
Bathurst Manor,Assault,2017,16666,56,336.0134
Bathurst Manor,Assault,2018,16982,68,400.424
Bathurst Manor,Assault,2019,17309,59,340.8631
Bathurst Manor,Assault,2020,17628,58,329.022
Bathurst Manor,Auto Theft,2014,16182,37,228.6491
Bathurst Manor,Auto Theft,2015,16237,22,135.493
Bathurst Manor,Auto Theft,2016,16354,25,152.8678
Bathurst Manor,Auto Theft,2017,16666,23,138.0055
Bathurst Manor,Auto Theft,2018,16982,37,217.8777
Bathurst Manor,Auto Theft,2019,17309,24,138.6562
Bathurst Manor,Auto Theft,2020,17628,46,260.9485
Bathurst Manor,Burglary,2014,16182,34,210.11
Bathurst Manor,Burglary,2015,16237,30,184.7632
Bathurst Manor,Burglary,2016,16354,33,201.7855
Bathurst Manor,Burglary,2017,16666,38,228.0091
Bathurst Manor,Burglary,2018,16982,32,188.4348
Bathurst Manor,Burglary,2019,17309,22,127.1015
Bathurst Manor,Burglary,2020,17628,27,153.1654
Bathurst Manor,Homicide,2014,16182,0,0.0
Bathurst Manor,Homicide,2015,16237,0,0.0
Bathurst Manor,Homicide,2016,16354,0,0.0
Bathurst Manor,Homicide,2017,16666,0,0.0
Bathurst Manor,Homicide,2018,16982,0,0.0
Bathurst Manor,Homicide,2019,17309,0,0.0
Bathurst Manor,Homicide,2020,17628,0,0.0
Bathurst Manor,Robbery,2014,16182,9,55.61735
Bathurst Manor,Robbery,2016,16354,11,67.26183
